title,content,rating,version,votecount,votesum,time,page
为探探点赞,成都的小朋友，感谢探探感谢缘分,5,4.9.5,0,0,2021-11-02T05:35:24-07:00,10
有人陪我啦,加油啊，还是很喜欢探探的，感觉就像我的秘密基地一样，没必要去顾及一些东西，而且很多探探er很有趣，很希望能在探探上发展出一个现实中的朋友，很期待面基,5,4.9.5,1,0,2021-11-02T02:15:59-07:00,10
爱的软件,最近遇到好多不开心，但是在探探好多人安慰我呢，已经好多了嘿嘿,5,4.9.5,0,0,2021-11-02T02:12:52-07:00,10
自信了,难以言喻的心情我都会记录在这里，不管有没有人看,5,4.9.5,0,0,2021-11-02T01:23:20-07:00,10
就是不能直接搜索ID或者网名,体验感不好,3,4.9.5,0,0,2021-11-02T01:21:28-07:00,10
垃圾软件,垃圾软件，刚注册发了个头像就说我违反封号了，垃圾垃圾,1,4.9.5,0,0,2021-11-01T22:00:59-07:00,10
新版本闪退,新版本闪退,1,4.9.5,0,0,2021-11-01T21:17:59-07:00,10
骗子太多,现在整顿完了，骗子也多了，竟然还有让你帮借充电宝，借共享单车不还的，我也是醉了,1,4.9.5,0,0,2021-11-01T17:03:15-07:00,10
把喜欢写进风里，从此整个世界都是你,棒棒哒支持,5,4.9.5,0,0,2021-11-01T07:39:04-07:00,10
有个性的功能,希望可以越来越好，虽然我玩探探时间不长，但是真的很喜欢！,5,4.9.5,0,0,2021-11-01T05:32:07-07:00,10
很开心也很幸运遇见你,之前生活中碰到了很烦心的情感问题，来探探发瞬间求助，大家都好热心好善良地帮我出谋划策，超感动啊,5,4.9.5,0,0,2021-11-01T05:31:02-07:00,10
探探er都很善良,界面喜欢，内容也喜欢,5,4.9.5,0,0,2021-11-01T04:39:14-07:00,10
谢谢你们陪伴了我一段艰难的时光,挺喜欢的.继续加油.我在里面找到了和自己一样的人.后台的小哥哥小姐姐们不要因为一些不好的人影响自己的情绪,5,4.9.5,0,0,2021-11-01T03:08:44-07:00,10
想来,感谢探探让我遇到了他，也许我们现在还没在一起，但是心却在慢慢的靠近，或许当彼此都了解对方后，会在一起，这大概就是探探的初衷，让大家都可以幸福。,5,4.9.5,0,0,2021-11-01T02:59:29-07:00,10
探探真的太实用了,这个软件很值得大家去关注一下 可以试试看,5,4.9.5,0,0,2021-11-01T02:57:51-07:00,10
垃圾,现在里面都是假人，发动态说假人太多居然还被官方撤了我的动态，还要封我的号！,1,4.9.5,0,0,2021-11-01T02:19:40-07:00,10
探探真的不行,探探直播里面有提成 发朋友圈带了快手俩字结果永久冻结 无语😓,1,4.9.5,0,0,2021-10-31T21:50:16-07:00,10
垃圾软件,这种垃圾软件连客服都没有,1,4.9.2,0,0,2021-10-31T19:14:16-07:00,10
垃圾软件,聊天要充会员 机器人不是一般的多 整体无脑的推送些垃圾内容 祝早日倒闭,1,4.9.2,0,0,2021-10-31T03:52:27-07:00,10
小心認識的人,騙子還是滿多的,5,4.9.2,0,0,2021-10-31T02:56:40-07:00,10
探探垃圾，里面人没素质，你们看到的都是他们筛选的好的一面，其实更多的是他很垃圾,这个软件贼恶心，真话不会让你说，恶意删帖子，现在你们看到的探探上的帖子都是他们处理过的，他们只会把好的一面发出来，其实内在超级恶习的，好多人都没素质，垃圾软件，最后一次下载，再见，永远不见。如果可以的话一星都不想给，就该给个负的，垃圾,1,4.9.2,0,0,2021-10-31T02:02:27-07:00,10
垃圾软件，,想钱想疯了吧？垃圾平台,1,4.9.2,0,0,2021-10-31T00:51:25-07:00,10
